Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066052,1950,02,112.9,Y
IDCJAC0001,066052,1950,03,118.4,Y
IDCJAC0001,066052,1950,04,151.1,Y
IDCJAC0001,066052,1950,05,135.1,Y
IDCJAC0001,066052,1950,06,418.9,Y
IDCJAC0001,066052,1950,07,291.3,Y
IDCJAC0001,066052,1950,08,58.6,Y
IDCJAC0001,066052,1950,09,87.5,Y
IDCJAC0001,066052,1950,10,111.0,Y
IDCJAC0001,066052,1950,11,105.8,Y
IDCJAC0001,066052,1950,12,17.6,Y
IDCJAC0001,066052,1951,01,184.7,Y
IDCJAC0001,066052,1951,02,63.0,Y
IDCJAC0001,066052,1951,03,107.7,Y
IDCJAC0001,066052,1951,04,28.6,Y
IDCJAC0001,066052,1951,05,155.5,Y
IDCJAC0001,066052,1951,06,252.1,Y
IDCJAC0001,066052,1951,07,26.8,Y
IDCJAC0001,066052,1951,08,79.3,Y
IDCJAC0001,066052,1951,09,37.0,Y
IDCJAC0001,066052,1951,10,38.4,Y
IDCJAC0001,066052,1951,11,12.9,Y
IDCJAC0001,066052,1951,12,19.3,Y
IDCJAC0001,066052,1952,01,30.6,Y
IDCJAC0001,066052,1952,02,37.5,Y
IDCJAC0001,066052,1952,03,95.8,Y
IDCJAC0001,066052,1952,04,287.1,Y
IDCJAC0001,066052,1952,05,47.0,Y
IDCJAC0001,066052,1952,06,133.9,Y
IDCJAC0001,066052,1952,07,146.2,Y
IDCJAC0001,066052,1952,08,191.8,Y
IDCJAC0001,066052,1952,09,14.3,Y
IDCJAC0001,066052,1952,10,184.8,Y
IDCJAC0001,066052,1952,11,82.7,Y
IDCJAC0001,066052,1952,12,35.9,Y
IDCJAC0001,066052,1953,01,69.3,Y
IDCJAC0001,066052,1953,02,110.8,Y
IDCJAC0001,066052,1953,03,86.8,Y
IDCJAC0001,066052,1953,04,19.7,Y
IDCJAC0001,066052,1953,05,219.0,Y
IDCJAC0001,066052,1953,06,46.1,Y
IDCJAC0001,066052,1953,07,65.7,Y
IDCJAC0001,066052,1953,08,41.5,Y
IDCJAC0001,066052,1953,09,26.0,Y
IDCJAC0001,066052,1953,10,61.1,Y
IDCJAC0001,066052,1953,11,35.1,Y
IDCJAC0001,066052,1953,12,9.7,Y
IDCJAC0001,066052,1954,01,67.2,Y
IDCJAC0001,066052,1954,02,186.4,Y
IDCJAC0001,066052,1954,03,5.9,Y
IDCJAC0001,066052,1954,04,13.2,Y
IDCJAC0001,066052,1954,05,43.4,Y
IDCJAC0001,066052,1954,06,11.0,Y
IDCJAC0001,066052,1954,07,92.1,Y
IDCJAC0001,066052,1954,08,27.6,Y
IDCJAC0001,066052,1954,09,50.3,Y
IDCJAC0001,066052,1954,10,149.7,Y
IDCJAC0001,066052,1954,11,75.5,Y
IDCJAC0001,066052,1954,12,78.0,Y
IDCJAC0001,066052,1955,01,158.9,Y
IDCJAC0001,066052,1955,02,209.3,Y
IDCJAC0001,066052,1955,03,154.6,Y
IDCJAC0001,066052,1955,04,115.4,Y
IDCJAC0001,066052,1955,05,239.3,Y
